"first_author","affiliation","publications","citations","year_start","year_end","top_topics","publication_types","top_authors","top_journals","top_institutions","top_conferences","not_found"
"Teresa Lorenzi","Marche Polytechnic University","53",749,1996,2019,"Biology|Internal medicine|Endocrinology|Medicine|Pathology|Anatomy|Placenta|Immunostaining|Biochemistry|Receptor","Journal publications|Other|Repository papers|Patents","Mario Castellucci|Daniela Marzioni|Manrico Morroni|Francesca Paolinelli|Adolfo Amici|Maria Lorenzi|Giulio Magni|Nadia Raffaelli|Pasquapina Ciarmela|Andrea L. Tranquilli","PLOS ONE|Placenta|Histology and Histopathology|Journal of Anatomy|Cytokine & Growth Factor Reviews|Journal of Bacteriology|Neurosurgery|Peptides|Journal of Cellular Physiology|International Journal of Cancer","Marche Polytechnic University|University of Turin|United Hospitals|University of Santiago, Chile|University of Naples Federico II|University of Siena|Kore University of Enna|Unica Corporation|Seconda Università degli Studi di Napoli|Catholic University of the Sacred Heart",NA,NA
"Jing Huang","Boston Children's Hospital","34",2157,2007,2020,"Nanoparticle|Iron oxide nanoparticles|Materials science|In vivo|Nanotechnology|Biology|Magnetic nanoparticles|Chemistry|Magnetic resonance imaging|Nanoconjugates","Journal publications|Other","Hui Mao|Peng Guo|Xingguo Li|Liya Wang|Jin Xie|Xiaoyuan Chen|Marsha A. Moses|Kai Chen|Lily Yang|Debra T. Auguste","Biomaterials|Proceedings of the National Academy of Sciences of the United States of America|ACS Nano|Chemical Communications|Theranostics|Journal of Materials Chemistry B|Nature Communications|Advanced Functional Materials|ACS Applied Materials & Interfaces|Small","Boston Children's Hospital|Emory University|Peking University|Stanford University|Harvard University|City College of New York|Northeastern University|National Institutes of Health|Harbin Medical University|Brigham and Women's Hospital",NA,NA
"Emanuela Rosati","University of Perugia","58",1407,1990,2019,"Immunology|Biology|Chronic lymphocytic leukemia|Cell biology|Medicine|Molecular biology|Notch signaling pathway|Apoptosis|Signal transduction|Mutation","Journal publications|Other","Pierfrancesco Marconi|Franca Falzetti|Mauro Di Ianni|Isabella Screpanti|Stefano Baldoni|Paolo Sportoletti|Katia Fettucciari|Rita Sabatini|Beatrice Del Papa|Andrea Bartoli","Blood|British Journal of Haematology|Leukemia|International Journal of Cancer|Frontiers in Oncology|Oncotarget|Best Practice & Research Clinical Haematology|Journal of Immunology|European Journal of Immunology|Immunology","University of Perugia|University of L'Aquila|Sapienza University of Rome|University of Chieti-Pescara|Stanford University|Weizmann Institute of Science|Boston Children's Hospital|Universidade Federal do Espírito Santo|Istituto Superiore di Sanità|National Research Council",NA,NA
"Gayathri Chadalapaka","Texas A&M University","34",2686,2007,2018,"Biology|Molecular biology|Cancer research|Cell growth|Pancreatic cancer|Gene knockdown|RNA interference|HOTAIR|Survivin|Transcription factor","Journal publications|Other","Stephen Safe|Indira Jutooru|Kyounghyun Kim|Robert C. Burghardt|Greg A. Johnson|Sang Bae Kim|James H. Frank|Satya S. Pathi|Sudhakar Chintharlapalli|Sabitha Papineni","Oncogene|Cancer Research|Journal of Biological Chemistry|International Journal of Cancer|Molecular Cancer Research|Oncotarget|Carcinogenesis|Bioorganic & Medicinal Chemistry Letters|PLOS ONE|Molecular and Cellular Biology","Texas A&M University|Texas A&M Health Science Center|University of Texas MD Anderson Cancer Center|University of Paris|Curie Institute|Baylor College of Medicine|Chonbuk National University|Wellington Management Company|University of Cincinnati|University of Illinois at Chicago",NA,NA
"Baoyi Zhu","Sun Yat-sen University","7",41,2011,2013,"Cancer research|Biology|Medicine|Surgery|Ureter|Urology|Gene silencing|Phosphorylation|Apoptosis|Small interfering RNA","Journal publications","Xingqiao Wen|Chunwei Ye|Yi Cai|Songwang Cai|Huaiqiu Huang|Yu Wang|Xiaojuan Li|Yuying Zhang|Yiran Tao|Ruihan Chen","International Journal of Cancer|Journal of Endourology|Laboratory Investigation|Open Journal of Urology|Clinical and Investigative Medicine|Current Urology","Sun Yat-sen University|University of Rochester Medical Center",NA,NA
"Jing Hu","State University of New York System","1",22,2011,2011,"Cancer|Cell|Apoptosis|Cyclin D1|Cisplatin|Ovarian cancer|Cancer research|Cell growth|Cell culture|Biology","Journal publications","Hassan Nakhla|Eileen Friedman","International Journal of Cancer","State University of New York System|State University of New York Upstate Medical University",NA,NA
"R. van Gelderen","University of Tasmania","4",168,2007,2010,"Biology|Fishery|Welfare|Ecology|Morality|Animal ethics|Information quality|Animal welfare|Tenacibaculum maritimum|Salmo","Journal publications","Natalie A. Moltschaniwskyj|José Eduardo A. R. Marian|David L. Sinn|Billy Sinclair|Marek R. Lipinski|Mitsuo Sakai|Roger Villanueva|K. Warnke|M. K. Nishiguchi|D.J. Shulman","Reviews in Fish Biology and Fisheries|Diseases of Aquatic Organisms|Journal of Fish Diseases|Journal of Applied Microbiology","University of Tasmania|New Mexico State University|Spanish National Research Council|University of São Paulo|University of Massachusetts Amherst|Central Queensland University|Stanford University|Australian Animal Health Laboratory",NA,NA
"Robert P. Ryan","University of Dundee","57",4408,2006,2018,"Biology|Microbiology|Genetics|Xanthomonas campestris|Virulence|Xanthomonas|Cyclic di-GMP|Bacteria|Biochemistry|Genome","Journal publications|Other","J. Maxwell Dow|Yvonne McCarthy|Adam J. Bogdanove|Shi-Qi An|Prabhu B. Patil|Frank F. White|Ralf Koebnik|Steven L. Salzberg|Ramesh V. Sonti|Jan E. Leach","Molecular Microbiology|Nature Reviews Microbiology|BMC Genomics|Journal of Bacteriology|Proceedings of the National Academy of Sciences of the United States of America|PLOS ONE|Trends in Microbiology|PLOS Pathogens|Journal of Molecular Biology|The EMBO Journal","University College Cork|University of Dundee|Iowa State University|Council of Scientific and Industrial Research|Kansas State University|Colorado State University|University of Maryland, College Park|Wellcome Trust Sanger Institute|University of Maryland, Baltimore|Kyoto Prefectural University",NA,NA
"Laurent Guillon","University of Strasbourg","14",673,2005,2016,"Siderophore|Biology|Pyoverdine|Biochemistry|Periplasmic space|Secretion|Cytoplasm|Pseudomonas aeruginosa|Bacteria|Microbiology","Journal publications","Isabelle J. Schalk|Vincent Croquette|David Bensimon|Thierry Mora|Nicolas Desprat|Thomas Julou|Laure Journet|Iain L. Lamont|Emilie Yeterian|Lois W. Martin","Environmental Microbiology|Amino Acids|Proceedings of the National Academy of Sciences of the United States of America|FEBS Letters|Biochemistry|Organic Letters|Journal of Inorganic Biochemistry|PLOS ONE|ACS Chemical Biology|Methods in Enzymology","University of Strasbourg|Centre national de la recherche scientifique|University of California, Los Angeles|École Normale Supérieure|University of Otago|Autonomous University of Barcelona|University of Rouen|University of Barcelona|University of Marburg|University of Freiburg",NA,NA
"Lei-Chin Chen","I-Shou University","6",34,2011,2015,"Biology|Genetics|Apoptosis|Gene|DNA damage|Molecular biology|Comet assay|DNA repair|Gene expression|Mutagen","Journal publications","Ssu-Ching Chen|You-Cheng Hseu|Jong-C. Wu|Chin-H. Chen|Jui-Shan Tsai|Soi M. Chye|Yen-Fan Tuan|Jung-Chi Chen|Jwu-Ching Shu|Chien-Yen Chen","Environmental and Molecular Mutagenesis|Environmental Microbiology|International Journal of Medical Microbiology|Environmental Toxicology","National Kaohsiung Normal University|I-Shou University|National Central University|China Medical University (PRC)|Fooyin University|Taipei Medical University|International Medical University|National Chung Cheng University|Chang Gung University|University of Memphis",NA,NA
"Isao Hara","Wakayama Medical University","412",8543,1987,2020,"Medicine|Urology|Cancer|Surgery|Prostate cancer|Pathology|Internal medicine|Biology|Bladder cancer|Cancer research","Journal publications|Other","Hideaki Miyake|Sadao Kamidono|Masato Fujisawa|Soichi Arakawa|Hiroshi Eto|Yasuo Kohjimoto|Hiroshi Okada|Shoji Hara|Kazuki Yamanaka|Mototsugu Muramaki","International Journal of Urology|The Journal of Urology|Urology|BJUI|Clinical Cancer Research|Oncology Reports|Urologia Internationalis|Urologic Oncology-seminars and Original Investigations|Cancer Immunology, Immunotherapy|International Urology and Nephrology","Kobe University|Wakayama Medical University|University of British Columbia|Vancouver General Hospital|Iwate Medical University|Kyoto Prefectural University of Medicine|University of Tokyo|Kindai University|Sapporo Medical University|Akita University",NA,NA
"Noritoshi Kitamoto","University of Hyogo","58",1732,1980,2019,"Chemistry|Biology|Monoclonal antibody|Biochemistry|Virology|Molecular biology|Epitope|Capsid|Norwalk virus|Virus","Journal publications","Tomoyuki Tanaka|Yoji Kato|Mary K. Estes|Enoch Y. Park|Tian-Cheng Li|Tetsuro Suzuki|Naokazu Takeda|Akari Ishisaka|Toshihiko Osawa|Yoko Nitta","Journal of Agricultural and Food Chemistry|Biosensors and Bioelectronics|Journal of Virology|Free Radical Biology and Medicine|Journal of Clinical Microbiology|Clinical and Vaccine Immunology|Biochemical and Biophysical Research Communications|Journal of Biological Chemistry|Chemical Research in Toxicology|Microbiology and Immunology","University of Hyogo|National Institutes of Health|Nagoya University|Baylor College of Medicine|Shizuoka University|Hamamatsu University|Eastern Virginia Medical School|Sugiyama Jogakuen University|University of Tokushima|Tohoku University",NA,NA
"Kotla Siva Reddy","Indian Veterinary Research Institute","2",7,2010,2012,"Molecular biology|Biology|Virology|DNA vaccination|Naked DNA|Vaccination|Plasmid|Virus|Inactivated vaccine|Immunity","Journal publications","H.J. Dechamma|Veluvarthy V.S. Suryanarayana|G. R. Reddy|Susarla Gopalakrishna|Brabhi R. Rashmi|N. Banumathi|Dowlathabad. Muralidhar Rao","Journal of Gene Medicine|Microbiology and Immunology","Indian Veterinary Research Institute|Australian National Drag Racing Association",NA,NA
"H. Liu","Central South University","948",20428,1983,2020,"Chemistry|Organic chemistry|Catalysis|Biochemistry|Biology|Nanotechnology|Stereochemistry|Medicine|Inorganic chemistry|Materials science","Journal publications|Repository papers|Patents|Other|Conference publications","Hualiang Jiang|Jiang Wang|Yu Zhou|Deju Ye|José Luis Aceña|Vadim A. Soloshonok|Kaixian Chen|Enguang Feng|Yu Zhou|He Huang","ChemInform|Chemical Reviews|Journal of Organic Chemistry|Bioorganic & Medicinal Chemistry|Journal of Medicinal Chemistry|Advanced Synthesis & Catalysis|Chemical Communications|RSC Advances|Green Chemistry|Organic Letters","Chinese Academy of Sciences|Shanghai University|Central South University|China Pharmaceutical University|East China University of Science and Technology|Southeast University|ShanghaiTech University|Ikerbasque|University of the Basque Country|Nanjing University","SOPO: Symposium on Photonics and Optoelectronics|IEMDC: International Electric Machines and Drives Conference",NA
"Sandrine Koechler","University of Strasbourg","26",946,2005,2020,"Biology|Arsenite|Bacteria|Arsenic|Microbiology|Ecology|Herminiimonas arsenicoxydans|Genome|Microorganism|Genetics","Journal publications|Other|Book chapters","Philippe N. Bertin|Florence Arsène-Ploetze|Jessica Cleiss-Arnold|Claudine Médigue|Marie Marchal|Didier Lièvremont|Jean-Yves Coppée|Valérie Barbe|Violaine Bonnefoy|Jean Weissenbach","PLOS Genetics|The ISME Journal|BMC Microbiology|Biochimie|PLOS ONE|Research in Microbiology|Genome Biology and Evolution|Frontiers in Microbiology|International Journal of Systematic and Evolutionary Microbiology|BMC Genomics","University of Strasbourg|Centre national de la recherche scientifique|Pasteur Institute|University of Lyon|Institut national de la recherche agronomique|Aix-Marseille University|Helmholtz Centre for Environmental Research - UFZ|University of Montpellier|French Alternative Energies and Atomic Energy Commission|University of Paris-Sud",NA,NA
"Scarlett R Holdsworth","Queen's University Belfast","6",93,2012,2014,"Escherichia coli|Biology|Major facilitator superfamily|Biochemistry|Transporter|Efflux|Membrane transport protein|Microbiology|Antiporter|Active transport","Journal publications|Other","Christopher J. Law|Paul McVeigh|Kamela O. Alegre|James A. Brown|Stephanie Paul|Sharon M. Kelly|Matthew Rice","Molecular Microbiology|BMC Microbiology|Journal of Antimicrobial Chemotherapy|Biochimie","Queen's University Belfast|University of Glasgow",NA,NA
"Daniel C Kraushaar","National Institutes of Health","7",344,2010,2018,"Biology|Molecular biology|Genetics|Histone|Chromatin|Nucleosome|Transcription factor|Cellular differentiation|Fibroblast growth factor|Embryonic stem cell","Journal publications","Lianchun Wang|Keji Zhao|Misook Ha|Yu Yamaguchi|Stephen Dalton|Brian J. Abraham|Wenfei Jin|Alika K. Maunakea|Eduard Condac|Kelley W. Moremen","Journal of Biological Chemistry|Genome Biology|International Journal of Biological Sciences|Epigenetics & Chromatin|Biological Chemistry|Genome Research","Samsung|National Institutes of Health",NA,NA
"Arumugam Nagalingam","Johns Hopkins University","42",954,2009,2019,"Cancer research|Biology|Carcinogenesis|Cancer|Medicine|Cancer cell|Adiponectin|Immunology|Leptin|Breast cancer","Journal publications|Other","Neeraj K. Saxena|Dipali Sharma|Dipali Sharma|Panjamurthy Kuppusamy|Jack L. Arbiser|Michael Y. Bonner|Dimiter Avtanski|Cynthia Cohen|Nethaji Muniraj|Balázs Gyorffy","Cancer Research|Oncogene|Carcinogenesis|Gastroenterology|Oncotarget|Molecular Oncology|Hepatology|Breast Cancer Research|Neoplasia|Current Bioactive Compounds","Emory University|University of Maryland, Baltimore|Johns Hopkins University|Johns Hopkins University School of Medicine|Semmelweis University|United States Department of Veterans Affairs|Stanford University|National Institutes of Health|Harvard University|Morehouse School of Medicine",NA,NA
"Ingunn Holen","University of Sheffield","192",7529,1990,2020,"Medicine|Breast cancer|Zoledronic acid|Cancer research|Cancer|Pathology|Internal medicine|Biology|Immunology|Metastasis","Journal publications|Other|Repository papers|Patents","Penelope D. Ottewell|Robert E. Coleman|Peter I. Croucher|Hannah K. Brown|Nicola J. Brown|Colby L. Eaton|R.E. Coleman|Valerie Speirs|Diane V. Lefley|Simon S. Cross","Breast Cancer Research|Cancer Treatment Reviews|Cancer Research|Breast Cancer Research and Treatment|International Journal of Cancer|Clinical Cancer Research|Journal of the National Cancer Institute|Annals of Oncology|Bone|Blood","University of Sheffield|University of Leeds|University of Oxford|University of Manchester|Cardiff University|Institute of Cancer Research|University of Glasgow|University of Birmingham|Harvard University|Brighton and Sussex Medical School",NA,NA
"Meiou Dai","McGill University","11",315,2008,2018,"Cancer research|Biology|Breast cancer|Cancer|Medicine|Triple-negative breast cancer|Molecular biology|Metastasis|Internal medicine|Transforming growth factor beta","Journal publications","Jean-Jacques Lebrun|Suhad Ali|Jun Tian|Nadège Fils-Aimé|Jimin Guo|Amal A Al-Odaini|Fatmah Al Raffa|Shafaat A. Rabbani|Ani Arakelian|Chieh Lo","Journal of Biological Chemistry|Breast Cancer Research|Scientific Reports|British Journal of Cancer|Cellular Signalling|Cancer Research","McGill University|Malaysian Ministry of Higher Education|St Mary's Hospital|Third Military Medical University",NA,NA
"Yi Fang Lee","Genome Institute of Singapore","4",93,2007,2014,"Cancer research|Breast cancer|CA15-3|Pathology|Gene expression|RNA interference|Surgical oncology|Motility|Cell growth|Medicine","Journal publications","Edison T. Liu|Kartiki V. Desai|Lance D. Miller|Brendan Pang|Michael A. Black|Xiu Bin Chan|Chee Wee Ong|Manuel Salto-Tellez|Wendy WeiJia Soon|Koichiro Inaki","Breast Cancer Research|Genome Research|Clinical Cancer Research","Genome Institute of Singapore|Queen's University Belfast|National University of Singapore|Wake Forest University|University of Otago|Université de Sherbrooke|Massachusetts Institute of Technology",NA,NA
"Meiou Dai","McGill University","11",315,2008,2018,"Cancer research|Biology|Breast cancer|Cancer|Medicine|Triple-negative breast cancer|Molecular biology|Metastasis|Internal medicine|Transforming growth factor beta","Journal publications","Jean-Jacques Lebrun|Suhad Ali|Jun Tian|Nadège Fils-Aimé|Jimin Guo|Amal A Al-Odaini|Fatmah Al Raffa|Shafaat A. Rabbani|Ani Arakelian|Chieh Lo","Journal of Biological Chemistry|Breast Cancer Research|Scientific Reports|British Journal of Cancer|Cellular Signalling|Cancer Research","McGill University|Malaysian Ministry of Higher Education|St Mary's Hospital|Third Military Medical University",NA,NA
"Zhaojia Wu","Capital Normal University","4",47,2012,2018,"Biology|Metastasis|Cancer research|Transcription factor|Cell biology|Cancer|Innate immune system|In vivo|Inflammation|Colorectal cancer","Journal publications","Wei Xiao|Weiwei Zhang|Heather Neufeld|Eminao Torlakovic|Zhiling Zhang|Siqi Shen|J. Justin McCormick|Veronica M. Maher|Audesh Bhat|Mengxue Lu","Oncotarget|Breast Cancer Research|Cell Cycle|FEBS Letters","Capital Normal University|University of Saskatchewan|Michigan State University",NA,NA
"Alexandr V. Bazhin","Ludwig Maximilian University of Munich","128",1842,2001,2019,"Biology|Immunology|Medicine|Cancer research|Cancer|Pancreatic cancer|Immune system|Tumor microenvironment|Molecular biology|Internal medicine","Journal publications|Other","Jens Werner|Svetlana Karakhanova|Pavel P. Philippov|Dirk Schadendorf|Stefan B. Eichmüller|Yuhui Yang|Viktor Umansky|Jan G. D’Haese|Ivan Shevchenko|Markus Guba","International Journal of Cancer|Journal of Cellular Physiology|Proceedings of the National Academy of Sciences of the United States of America|Biochemistry|Current Medicinal Chemistry|Oncotarget|International Reviews of Immunology|Experimental Dermatology|Cancer Immunology, Immunotherapy|OncoImmunology","Heidelberg University|Ludwig Maximilian University of Munich|German Cancer Research Center|Moscow State University|University Hospital Heidelberg|University of Duisburg-Essen|Chubu University|Hebrew University of Jerusalem|Hannover Medical School|French Institute of Health and Medical Research",NA,NA
"Marina S. Savchenko","Moscow State University","11",184,2001,2018,"Medicine|Pathology|Cancer|Lung cancer|Recoverin|Antigen|Small Cell Lung Carcinoma|Autoantibody|Cornea|Carcinoma","Journal publications","Pavel P. Philippov|Alexandr V. Bazhin|Ivan I. Senin|Olga N. Shifrina|Alexandr G. Chuchalin|Andrey A. Zamyatnin|Marina O. Golovastova|O. S. Gancharova|Viktoriia E. Baksheeva|Sofia A. Demoura","Lung Cancer|Biochemistry|Oncology Letters|Oxidative Medicine and Cellular Longevity|Bulletin of Experimental Biology and Medicine|Biochemistry (moscow) Supplement Series B: Biomedical Chemistry|European Respiratory Journal","Moscow State University|Academy of Medical Sciences, United Kingdom|Heidelberg University|I.M. Sechenov First Moscow State Medical University",NA,NA
"Stephana Carelli","University of Milan","47",907,1993,2019,"Biology|Erythropoietin|Immunology|Spinal cord injury|Medicine|Neuroscience|Cell biology|Biochemistry|Pathology|Pharmacology","Journal publications|Other","Anna Maria Di Giulio|Alfredo Gorio|Toniella Giallongo|L. Madaschi|Elisa Latorre|Elena Lesma|Federica Rey|Giovanni Marfia|Mattia Colli|Giorgio Ghilardi","Proceedings of the National Academy of Sciences of the United States of America|Biochimica et Biophysica Acta|International Journal of Molecular Sciences|Cell Transplantation|American Journal of Pathology|Neurological Sciences|Asn Neuro|Cells|Neurobiology of Disease|Neurology Research International","University of Milan|University of Catania|University of Trento|Ohio State University|University of Brescia|University of Pavia|University of Pavol Jozef Šafárik|Duke University|University of Pisa|European Institute of Oncology",NA,NA
"Katherine M. Finan","Royal Adelaide Hospital","3",31,2004,2016,"Apoptosis|In vivo|Gene delivery|Pathology|Medicine|Matrix metalloproteinase|Genetic enhancement|Genetic transfer|Fas ligand|Cell culture","Journal publications","Mark Holmes|Paul N. Reynolds|Ann M. Reynolds|Sandra Hodge|Andrew H. Baker|Greg Hodge","Lung Cancer|Molecular Therapy","Boston Children's Hospital|Royal Adelaide Hospital|University of Adelaide|University of Glasgow",NA,NA
"Kang Fang","National Taiwan Normal University","51",1202,1986,2018,"Biology|Apoptosis|Cell culture|Cancer research|Cell|Molecular biology|Programmed cell death|Cancer|Cell biology|Immunology","Journal publications|Repository papers|Other","Chien-Chih Chiu|Jing Ping Wang|Y. S. Lai|I. C. Guo|Chun Yen Liu|S. C. Chen|Chang Heng Hsieh|S. Murali|C. Y. Chang|Ching-Fa Yao","Journal of Fish Diseases|Apoptosis|Journal of Agricultural and Food Chemistry|Clinical Genetics|Cancer Research|Lung Cancer|Oncology Letters|Drug Design Development and Therapy|Molecular and Cellular Biochemistry|International Journal of Oncology","National Taiwan Normal University|Kaohsiung Medical University|National Taiwan University|Academia Sinica|National Cheng Kung University|University of Texas MD Anderson Cancer Center|China Medical University (PRC)|National Taiwan Ocean University|Memorial Hospital of South Bend|Technische Universität München",NA,NA
"Shun-Dong Dai","China Medical University (PRC)","37",662,2006,2015,"Biology|Lung cancer|Pathology|Cancer research|Immunohistochemistry|Catenin|Medicine|Immunology|Cancer|Cadherin","Journal publications|Other","Enhua Wang|Hong-Tao Xu|Yan Wang|Yuan Miao|Yang Han|Yang Liu|Qingchang Li|Juan-Han Yu|Guiyang Jiang|Yue Zhao","PLOS ONE|Diagnostic Pathology|Apmis|International Journal of Clinical and Experimental Pathology|The Journal of Pathology|BMC Cancer|Targeted Oncology|Lung Cancer|Cancer Science|Molecular Carcinogenesis","China Medical University (PRC)|Linköping University|Duke University|University of Texas MD Anderson Cancer Center",NA,NA
"Kazutoshi Komiya","Saga University","58",348,2004,2019,"Medicine|Pathology|Internal medicine|Biology|Mutation|Lung cancer|Molecular biology|T790M|Cancer|genomic DNA","Journal publications","Shinya Kimura|Naoko Sueoka-Aragane|Tomomi Nakamura|Eisaburo Sueoka|Akemi Sato|Shinichiro Hayashi|Kentaro Iwanaga|Mitsuharu Hirai|Toshiya Hosomi|Tomonori Abe","Journal of Thoracic Oncology|Lung Cancer|Annals of Oncology|Cancer Research|Journal of Cancer Research and Clinical Oncology|Journal of Clinical Oncology|Journal of Medical Case Reports|Biomarker Insights|Case reports in rheumatology|Case Reports in Oncology","Saga University|Saga Group|Kumamoto University|Kyushu University|Oita University|Japanese Foundation for Cancer Research|Takasaki University of Health and Welfare|Kanazawa University|Chonnam National University|Yamagata University",NA,NA
"Hakan Akca","Pamukkale University","41",452,2004,2019,"Biology|Cancer research|Cell culture|Protein kinase B|Molecular biology|Chemistry|PTEN|Genetics|PI3K/AKT/mTOR pathway|Lung cancer","Journal publications|Other","Onur Tokgun|Aydin Demiray|Jun Yokota|Bülent Kaya|Esref Demir|Fatma Turna|Durmus Burgucu|Gerard Vales|Sezgin Aksakal|Amadeu Creus","Lung Cancer|Journal of Hazardous Materials|Cancer Genetics and Cytogenetics|Cancer Cell International|Environmental Research|Molecular Biotechnology|Journal of Enzyme Inhibition and Medicinal Chemistry|Tumor Biology|Journal of Medicinal Food|Psychiatry Research-neuroimaging","Pamukkale University|Akdeniz University|Autonomous University of Barcelona|Ciber|University of Sassari|Epigenomics AG|Kafkas University|Yüzüncü Yil University|Usak University|Selçuk University",NA,NA
"Norimitsu Tanaka","Okayama University","43",698,1987,2017,"Medicine|Cancer research|Pathology|Biology|Lung cancer|Molecular biology|Cell culture|Methylation|Internal medicine|Oncology","Journal publications|Other","Shinichi Toyooka|Shinichiro Miyoshi|Kazunori Tsukuda|Junichi Soh|Hiroaki Asano|Yuho Maki|Kazuhiko Shien|Takayuki Muraoka|Masashi Furukawa|Tsuyoshi Ueno","Lung Cancer|Cancer Research|Oncology Reports|Acta Medica Okayama|Anticancer Research|PLOS ONE|Diseases of The Esophagus|Oncology Letters|Molecular and Clinical Oncology|Journal of Cancer Research and Clinical Oncology","Okayama University|Kawasaki Medical School|New York University",NA,NA
"Dusanka S. Skundric","Wayne State University","24",612,1994,2020,"Immunology|Biology|Multiple sclerosis|Cytokine|Experimental autoimmune encephalomyelitis|Medicine|T cell|Pathology|Central nervous system|Schwann cell","Journal publications|Other","Robert P. Lisak|William W. Cruikshank|Rujuan Dai|Harley Y. Tse|Paul C. Montgomery|Beverly Bealmear|Djordje Gveric|Juan Cai|Vaagn L. Zakarian|Weili Zhou","Journal of Neuroinflammation|Journal of Neuroimmunology|Cytokine|Experimental Diabesity Research|Annals of the New York Academy of Sciences|Neural Regeneration Research|Journal of Neuroscience Research|Journal of Autoimmunity|Molecular Neurodegeneration|Multiple Sclerosis Journal","Wayne State University|Boston University|University College London|University of Colorado Denver|University of Belgrade|University of Graz",NA,NA
"Pascale Gerbaud","University of Paris","6",294,1996,2014,"Biology|Psoriasis|Superoxide dismutase|Fibroblast|Molecular biology|Immunology|Biochemistry|Human chorionic gonadotropin|Trophoblast|Cytotrophoblast","Journal publications","Danièle Evain-Brion|Wayne B. Anderson|Patrice Thérond|Françoise Raynaud|J. Guibourdenche|Guillaume Pidoux|Fatima Ferreira|Josette Badet|Geri Meduri|Jean-Louis Frendo","Journal of Investigative Dermatology|Journal of Cellular Physiology|Journal of Autoimmunity|Free Radical Biology and Medicine|Placenta","University of Paris|National Institutes of Health|Centre national de la recherche scientifique|French Institute of Health and Medical Research|Paris Descartes University",NA,NA
"M. Sisto","University of Bari","83",1186,2000,2020,"Biology|Immunology|Inflammation|Autoantibody|Salivary gland|Autoimmunity|Autoimmune disease|Cancer research|Cytokine|Apoptosis","Journal publications|Other","Sabrina Lisi|Massimo D’Amore|Dario Domenico Lofrumento|Vincenzo Mitolo|Domenico Ribatti|Maria Antonietta Panaro|A. Acquafredda|P. Scagliusi|Giuseppe Ingravallo|Loredana Lorusso","Clinical and Experimental Medicine|Histochemistry and Cell Biology|Journal of Autoimmunity|Immunopharmacology and Immunotoxicology|Laboratory Investigation|Annals of the New York Academy of Sciences|Immunology Letters|Journal of Medical Microbiology|Pathology|International Immunology","University of Bari|University of Salento|University of Wisconsin-Madison|DIM",NA,NA
"Itshak Golan","Hebrew University of Jerusalem","20",953,2000,2009,"Biology|CD44|Immunology|Cell|Molecular biology|Cell biology|Cellular differentiation|Cell signaling|Cluster of differentiation|Cell growth","Journal publications|Patents|Other","David Naor|Shlomo Nedvetzki|Dan Caspi|Lora Melnik|Yoram Faitelson|Ira Golan|Lora Eshkar Sebban|Yehiel Zick|Avner Yayon|Ori Elkayam","Critical Reviews in Clinical Laboratory Sciences|Journal of Immunology|Journal of Clinical Investigation|Annals of the New York Academy of Sciences|Journal of Autoimmunity|The Open Rheumatology Journal|Cell Adhesion and Communication","Hebrew University of Jerusalem|Weizmann Institute of Science|University of Western Ontario",NA,NA
"Xiaoyan Xiao","Yale University","6",187,2009,2016,"Diabetes mellitus|Biology|Internal medicine|Endocrinology|NOD mice|Nod|Immunology|Medicine|Hepatitis|Diabetic cardiomyopathy","Journal publications","Li Wen|F. Susan Wong|Peng Zhao|Ningwen Tai|Dake Qi|Baojun Dong|Li Chen|Long Yang|Yan Huang|Lena Alexopoulou","American Journal of Physiology-heart and Circulatory Physiology|Journal of Immunology|Journal of Autoimmunity|Archives of Medical Research|Clinical and Experimental Immunology","Yale University|Shandong University|Cardiff University|Howard Hughes Medical Institute|University of Bristol|New York University|King's College London|Ghent University Hospital|Institut national de la recherche scientifique",NA,NA
"Dana Ben-Ami Shor","Sheba Medical Center","34",1066,2009,2019,"Medicine|Pediatrics|Childhood obesity|Overweight|Body mass index|Young adult|Immunology|Heart disease|Cause of death|Sudden death","Journal publications|Other","Gilad Twig|Adi Leiba|Nehama Goldberger|Hagai Levine|Ziona Haklai|Dorit Tzur|Arnon Afek|Estela Derazne|Ari Shamiss|Gal Yaniv","The New England Journal of Medicine|Autoimmunity Reviews|Journal of Autoimmunity|Clinical Reviews in Allergy & Immunology|Diabetes Care|Gastroenterology|The Journal of Clinical Endocrinology and Metabolism|Annals of the New York Academy of Sciences|European Journal of Endocrinology|European Journal of Pediatrics","Tel Aviv University|Sheba Medical Center|Medical Corps|Ben-Gurion University of the Negev|Brigham and Women's Hospital|Hebrew University of Jerusalem|Israel Ministry of Health|Clalit Health Services|Weizmann Institute of Science|Albert Einstein College of Medicine",NA,NA
